split	pdb_id	true	pred	error
train	6jbb	5.99	6.52	+0.534
train	5y12	6.23	6.18	-0.052
train	2jdp	6.60	4.89	-1.705
train	1cbs	6.16	5.48	-0.675
train	1ogx	6.09	5.54	-0.547
train	1crb	6.30	4.94	-1.367
train	2clh	4.06	5.63	+1.571
train	2r3t	5.85	7.30	+1.451
train	4djq	10.32	10.14	-0.176
train	6pg3	3.32	6.10	+2.781
train	3hky	7.10	6.83	-0.274
train	1v11	3.98	5.78	+1.801
train	4ufi	6.20	5.22	-0.980
train	3cm2	6.47	6.74	+0.267
train	5dqf	3.60	6.49	+2.887
train	5mrm	5.03	4.86	-0.165
train	1cpe	5.72	6.51	+0.796
train	6fo5	6.72	7.58	+0.857
train	6d17	4.82	4.67	-0.150
train	3f3c	6.02	5.61	-0.414
train	3djv	4.55	5.85	+1.296
train	6jap	4.80	6.54	+1.739
train	1cqb	6.23	6.23	-0.003
train	6py0	6.41	5.87	-0.544
train	4y2q	2.92	5.11	+2.193
train	3p8p	4.55	6.53	+1.982
train	4fxp	4.09	5.63	+1.540
train	3gc4	7.60	6.19	-1.413
train	1rr6	10.25	6.20	-4.053
train	1ui0	7.06	4.81	-2.253
train	1c84	5.00	5.09	+0.091
train	2yel	7.28	7.09	-0.188
train	3b3x	3.60	4.70	+1.099
train	3s45	8.49	9.63	+1.138
train	3th9	7.70	8.02	+0.319
train	5otc	4.71	6.51	+1.797
train	2r9w	5.10	4.99	-0.109
train	3lk8	7.71	6.45	-1.261
train	3kmc	6.40	6.22	-0.179
train	5oht	6.02	5.56	-0.458
train	4ynb	10.37	7.64	-2.725
train	1ajx	7.91	7.03	-0.876
train	6dif	10.72	6.90	-3.819
train	1aid	4.82	6.42	+1.601
train	6qlt	4.04	5.00	+0.958
train	3nzk	9.27	6.43	-2.842
train	3o9p	6.52	5.70	-0.824
train	4wrb	6.19	5.67	-0.520
train	2jjb	7.92	5.95	-1.975
train	6r0v	4.96	5.93	+0.975
train	3b65	9.27	6.33	-2.940
train	4bps	2.99	5.13	+2.140
train	4ra1	5.94	5.39	-0.545
train	2dri	6.89	6.00	-0.886
train	3mjl	2.44	4.58	+2.143
train	3alt	2.92	5.72	+2.797
train	4wko	9.47	8.46	-1.012
train	5evk	4.92	5.40	+0.483
train	3f34	3.16	5.31	+2.155
train	1j01	6.47	5.77	-0.704
train	6gl8	8.61	5.68	-2.933
train	1crj	5.94	5.76	-0.175
train	2doo	7.17	6.16	-1.015
train	4f6w	7.52	6.38	-1.138
train	5eqp	5.40	6.09	+0.687
train	4k55	5.51	5.33	-0.184
train	5bwc	7.21	7.53	+0.323
train	3usx	5.02	5.45	+0.432
train	4b6p	7.13	5.97	-1.161
train	1acm	6.89	5.85	-1.043
train	1mrx	7.26	7.87	+0.607
train	1cpw	6.01	6.41	+0.403
train	6jag	4.50	6.55	+2.047
train	3ppq	4.55	5.07	+0.515
train	4css	8.46	6.38	-2.078
train	6cn5	7.70	6.73	-0.971
train	3st5	11.30	10.60	-0.702
train	3ovn	2.55	5.32	+2.770
train	1f74	3.05	6.09	+3.041
train	2reg	5.64	4.97	-0.671
train	2a4m	4.52	4.60	+0.084
train	4k7i	2.82	4.70	+1.877
train	2zz2	4.54	5.90	+1.358
train	1c83	4.85	5.14	+0.291
train	4zei	5.88	5.67	-0.211
train	3mxd	8.83	9.25	+0.424
train	5ka7	4.35	4.72	+0.369
train	3nox	8.66	6.14	-2.520
train	3sjf	7.64	5.92	-1.718
train	6ckr	7.30	5.84	-1.463
train	2yb0	3.85	6.31	+2.456
train	1bp0	5.40	6.19	+0.795
train	3o5x	5.28	6.78	+1.503
train	3u90	4.62	6.68	+2.061
train	2o4l	9.22	6.89	-2.328
train	1o5r	8.12	6.66	-1.462
train	4kz3	2.77	5.38	+2.613
train	1ajp	2.23	5.02	+2.789
train	3zm9	7.42	7.22	-0.197
train	2qi7	10.21	9.61	-0.604
train	3kdb	9.85	7.32	-2.525
train	1eld	6.70	6.22	-0.477
train	3dzt	7.22	5.57	-1.646
train	3u9q	4.38	5.47	+1.091
train	6jbe	4.70	5.14	+0.440
train	5yjm	7.68	7.80	+0.117
train	5u0z	6.19	6.72	+0.528
train	1n51	4.85	6.79	+1.938
train	3nhi	8.43	5.71	-2.723
train	1add	6.74	5.83	-0.907
train	4k3h	6.85	5.14	-1.706
train	1ogz	5.85	5.60	-0.246
train	6i8y	6.74	5.37	-1.370
train	4cig	3.67	6.36	+2.694
train	3pcj	7.22	4.63	-2.587
train	5wqc	8.96	5.86	-3.100
train	5f08	5.52	5.74	+0.218
train	3lka	2.82	6.17	+3.351
train	3f37	2.62	4.84	+2.219
train	5c28	5.66	5.93	+0.275
train	2h4g	6.52	5.75	-0.773
train	6b4u	7.68	6.34	-1.343
train	6q4e	3.46	4.72	+1.263
train	1km3	4.91	5.63	+0.719
train	3sfg	6.06	5.63	-0.426
train	5d47	7.00	7.23	+0.232
train	4bb9	6.00	5.59	-0.407
train	1elc	6.66	5.93	-0.730
train	1k4g	5.85	4.73	-1.124
train	6d16	5.08	5.54	+0.456
train	2aj8	6.20	6.59	+0.389
train	2gj5	8.32	6.60	-1.717
train	1cri	6.16	6.45	+0.289
train	5ult	10.85	10.83	-0.021
train	2qnp	6.41	7.47	+1.055
train	4z07	7.99	5.93	-2.062
train	3b92	8.00	6.43	-1.572
train	3cd5	7.90	9.37	+1.470
train	5y13	5.94	6.19	+0.247
train	6qqu	5.30	5.21	-0.090
train	4crb	7.57	6.57	-0.997
train	2v2q	4.15	6.16	+2.013
train	3ttm	8.52	5.22	-3.298
train	3phy	6.74	7.14	+0.399
train	1pzp	3.31	5.85	+2.537
train	5lne	4.76	5.59	+0.835
train	1cth	6.23	6.39	+0.156
train	6cwh	7.54	4.50	-3.041
train	5vp9	8.99	6.62	-2.368
train	2qi6	10.57	9.18	-1.393
train	3td4	5.66	5.23	-0.431
train	6pi6	5.66	5.54	-0.122
train	3vw1	4.67	5.29	+0.619
train	3x00	9.08	6.30	-2.780
train	1x8r	6.12	6.52	+0.396
train	4bc5	4.60	5.29	+0.686
train	2gvj	9.52	6.90	-2.618
train	5nap	7.95	6.48	-1.465
train	3p8o	8.72	6.87	-1.854
train	6p89	5.01	5.70	+0.692
train	2xc0	6.72	6.69	-0.035
train	3pce	2.00	5.04	+3.037
train	6o0o	7.44	5.88	-1.557
train	1hms	6.37	5.49	-0.880
train	4kif	4.84	5.69	+0.847
train	2pwg	4.82	5.38	+0.564
train	5ohy	5.17	5.16	-0.011
train	1met	9.40	6.61	-2.786
train	2ceq	7.28	5.41	-1.865
train	6o5t	6.50	4.44	-2.064
train	1c86	4.70	5.10	+0.399
train	6nyv	6.51	8.63	+2.119
train	6j9w	5.13	5.16	+0.032
train	5oh4	4.55	4.92	+0.369
train	4pnu	4.89	7.37	+2.479
train	2bz6	7.09	6.78	-0.312
train	3g3r	6.48	4.43	-2.053
train	6ayt	8.85	7.64	-1.205
train	2i19	7.80	5.29	-2.506
train	6fnq	4.59	7.61	+3.022
train	1bjv	5.54	5.61	+0.073
train	2mas	7.52	6.74	-0.778
train	1uj5	3.05	5.03	+1.981
train	6qpl	7.04	5.95	-1.092
train	5kax	6.11	5.90	-0.211
train	4qge	9.30	6.45	-2.855
train	4i8w	10.90	8.27	-2.626
train	1hwr	8.33	6.82	-1.512
train	5ufr	8.70	6.64	-2.063
train	4r3w	3.00	5.71	+2.706
train	3ekp	8.89	9.52	+0.630
train	3pb8	5.24	5.09	-0.152
train	1o7o	4.49	5.74	+1.250
train	6dak	5.14	6.69	+1.549
train	2qi5	10.85	9.07	-1.782
train	4kwo	6.45	5.94	-0.514
train	6d1g	4.47	4.72	+0.247
train	1xbo	6.04	5.09	-0.946
train	2i4j	6.16	6.96	+0.799
train	5cy9	6.66	6.56	-0.097
train	4kyh	5.92	5.59	-0.327
train	5ehv	3.08	5.10	+2.016
train	5edl	8.35	4.88	-3.467
train	6ftp	5.82	6.70	+0.879
train	3gk1	4.10	6.90	+2.803
train	6exs	3.44	5.49	+2.052
train	1ctr	6.45	5.89	-0.559
train	3wz7	5.74	5.85	+0.107
train	3l4w	6.00	6.06	+0.063
train	6pg5	4.96	7.06	+2.100
train	1nl9	5.96	6.21	+0.252
train	5jgi	4.30	5.70	+1.404
train	1cpu	6.52	5.46	-1.067
train	2f2h	5.70	6.42	+0.721
train	2jf4	8.15	5.45	-2.700
train	5fe9	4.68	6.03	+1.349
train	4aqh	6.54	6.08	-0.465
train	5var	4.09	6.38	+2.294
train	4leq	6.54	5.70	-0.839
train	6s4n	6.79	7.48	+0.690
train	4xoc	8.52	6.62	-1.902
train	3vd4	4.82	4.41	-0.411
train	1cur	6.45	3.78	-2.669
train	2j7b	6.62	5.75	-0.875
train	3zq9	6.02	5.24	-0.781
train	1rql	2.75	4.93	+2.178
train	1jvu	5.15	5.97	+0.819
train	6ej2	7.80	5.76	-2.043
train	1ado	6.00	3.35	-2.649
train	2zwz	7.79	5.26	-2.534
train	2zz1	4.54	5.68	+1.141
train	6iez	6.52	6.38	-0.138
train	3spf	3.86	7.89	+4.029
train	5exn	7.64	6.66	-0.982
train	4hw3	6.49	6.90	+0.412
train	4oc3	8.28	5.94	-2.343
train	4ual	8.40	5.79	-2.606
train	4pv5	6.54	5.82	-0.717
train	5evb	5.00	5.40	+0.404
train	4kxn	6.10	6.61	+0.514
train	3el5	7.72	8.23	+0.515
train	4l51	3.00	5.31	+2.311
train	2tsc	6.30	7.74	+1.432
train	4n5d	3.22	5.12	+1.903
train	4umb	4.00	5.30	+1.298
train	2qci	8.34	9.98	+1.639
train	1iy7	6.19	6.56	+0.370
train	3hkw	8.64	6.12	-2.516
train	6e5l	7.18	6.29	-0.891
train	5gj9	4.99	4.47	-0.523
train	1no6	4.41	5.12	+0.708
train	3w9k	6.32	5.56	-0.762
train	1dmp	9.55	6.77	-2.783
train	2yfe	6.63	5.70	-0.928
train	4wn5	7.41	5.42	-1.985
train	5hvs	7.15	6.84	-0.305
train	3wz8	5.82	5.57	-0.251
train	3qbc	4.97	5.17	+0.199
train	5z66	6.69	5.39	-1.302
train	6cbf	5.17	5.78	+0.611
train	1cra	6.67	4.78	-1.887
train	1cpr	6.96	6.38	-0.581
train	5qa8	3.77	5.08	+1.306
train	4og4	6.02	7.05	+1.033
train	1wcq	6.26	5.54	-0.725
train	6gvz	6.40	5.63	-0.773
train	4ndu	2.74	5.26	+2.524
train	1cpf	6.30	6.47	+0.170
train	1yq7	7.09	5.33	-1.764
train	3nu4	8.82	9.60	+0.782
train	1uz4	3.40	6.55	+3.154
train	4mpn	6.62	5.88	-0.744
train	4b6r	5.85	7.09	+1.243
train	4m0f	8.77	5.03	-3.737
train	1fkw	5.05	5.52	+0.469
train	3zsy	3.23	5.56	+2.331
train	1s39	7.70	5.59	-2.106
train	4gqq	2.89	5.25	+2.357
train	6dz0	9.03	8.96	-0.073
train	6t1m	5.21	6.05	+0.843
train	1csa	6.23	6.46	+0.229
train	5wa8	6.23	5.86	-0.369
train	4luz	4.70	7.41	+2.714
train	2zcs	8.22	7.03	-1.192
train	5hwv	5.07	5.33	+0.259
train	2y5f	8.70	6.08	-2.620
train	5t19	4.49	5.05	+0.557
train	3d4z	4.89	5.35	+0.460
train	1d7i	3.60	4.66	+1.063
train	1csc	6.38	6.83	+0.455
train	6udi	10.00	9.23	-0.768
train	1bmm	5.79	7.69	+1.903
train	5dgu	11.35	10.15	-1.203
train	1cqf	5.72	5.37	-0.343
train	4tun	5.41	4.93	-0.481
train	1bq4	5.22	5.00	-0.219
train	1f8d	3.40	5.62	+2.220
train	5ost	4.56	5.49	+0.927
train	5dxt	9.70	6.69	-3.013
train	4dst	2.96	4.95	+1.988
train	4eb8	9.82	7.97	-1.846
train	2y8c	6.40	5.72	-0.675
train	6pi5	6.96	4.51	-2.448
train	6ncn	3.05	5.19	+2.137
train	4wov	7.14	5.75	-1.390
train	3r6u	4.52	4.84	+0.324
train	4urz	2.52	6.09	+3.571
train	6k04	8.04	6.39	-1.652
train	5g5f	5.28	5.10	-0.179
train	3ui7	9.00	6.06	-2.944
train	3lea	9.10	5.68	-3.416
train	5hz5	7.07	6.00	-1.068
train	1li2	4.04	5.47	+1.432
train	6e1y	7.66	5.68	-1.977
train	4kn1	6.84	5.43	-1.408
train	6n78	9.68	5.90	-3.778
train	4ipi	5.32	4.70	-0.625
train	2wyj	9.00	9.02	+0.016
train	1cpt	5.72	6.45	+0.731
train	1tq4	6.19	6.03	-0.161
train	3v3q	6.60	5.49	-1.113
train	5a81	5.54	6.22	+0.680
train	1cul	6.09	6.60	+0.519
train	3ppp	5.22	5.05	-0.174
train	4xtv	9.27	6.78	-2.488
train	4mhy	6.47	6.12	-0.347
train	4ih5	4.11	5.22	+1.110
train	1bbu	6.74	6.47	-0.279
train	4ggz	10.18	6.32	-3.856
train	4cra	7.22	6.22	-1.004
train	4u6w	4.21	5.15	+0.938
train	4b6o	7.00	7.03	+0.026
train	6qqv	4.92	4.94	+0.017
train	1cja	6.74	5.50	-1.244
train	3su4	6.26	8.27	+2.014
train	5kr0	9.15	9.55	+0.403
train	1q1g	8.57	6.88	-1.692
train	5od1	5.96	5.97	+0.015
train	4us3	5.32	4.97	-0.352
train	6dh7	9.88	10.28	+0.397
train	3rt8	6.35	5.56	-0.793
train	5fsc	2.36	5.58	+3.220
train	6fba	4.70	5.05	+0.348
train	1li6	3.80	5.54	+1.737
train	4dkq	6.60	6.37	-0.234
train	5n17	5.32	6.91	+1.594
train	4f3k	10.16	7.77	-2.389
train	2y81	8.70	8.70	+0.000
train	1cmp	6.16	6.51	+0.349
train	3n7a	3.70	6.46	+2.757
train	5igm	7.38	5.64	-1.738
train	1v1m	3.94	5.76	+1.820
train	3t0b	4.30	4.21	-0.090
train	1xap	8.70	4.66	-4.044
train	6euw	7.77	6.63	-1.137
train	2uz9	5.71	4.78	-0.932
train	5nau	7.52	7.30	-0.216
train	6upj	6.32	5.93	-0.385
train	1ctu	5.94	6.33	+0.391
train	4i74	6.72	5.73	-0.994
train	4ih7	5.24	6.06	+0.818
train	3tsk	7.17	6.41	-0.763
train	4e9u	5.82	6.54	+0.721
train	4ibf	4.43	6.09	+1.661
val	2gz2	5.22	5.55	+0.327
val	5l30	9.14	6.01	-3.133
val	1mes	7.70	6.72	-0.981
val	5avf	5.49	4.86	-0.626
val	1q91	4.15	6.03	+1.881
val	6j0g	5.64	4.40	-1.243
val	1v48	7.80	5.84	-1.961
val	6mg5	4.69	5.02	+0.329
val	6b4n	10.55	9.62	-0.926
val	5ovx	4.50	5.03	+0.533
test	3f33	3.34	5.41	+2.073
test	2o4j	10.10	6.71	-3.394
test	1ctw	6.09	4.75	-1.335
test	5hrw	5.48	5.68	+0.200
test	4g0p	3.01	5.83	+2.820
test	4ibd	3.67	5.91	+2.243
test	3f80	4.22	5.32	+1.102
test	4uye	8.02	5.29	-2.731
test	2qzr	7.26	5.25	-2.012
test	5v79	6.41	6.27	-0.135
